date,mkt_rf,smb,hml,umd,rf
1953-05-01,0.0052,-7.000000000000001e-4,0.0023,0.009399999999999999,0.0017000000000000001
1953-06-01,-0.0189,-0.0187,-0.004699999999999999,0,0.0018
1953-07-01,0.024,-0.01,-0.0022,-0.0025,0.0015
1953-08-01,-0.0452,0.0029,-0.0353,0.0212,0.0017000000000000001
1953-09-01,0.002,-0.0084,-0.024399999999999998,0.0285,0.0016
1953-10-01,0.046,-0.013500000000000002,-0.0025,0.0021,0.0013
1953-11-01,0.028300000000000002,-0.013000000000000001,-0.0015,0.019,8e-4
1953-12-01,3e-4,-0.0085,-0.028399999999999998,0.0521,0.0013
1954-01-01,0.0513,0.0048,0.0344,-0.0583,0.0011
1954-02-01,0.0167,-0.0019,-0.0029,0.0104,7.000000000000001e-4
1954-03-01,0.0365,-0.0054,-0.015,0.0204,8e-4
1954-04-01,0.042699999999999995,-0.0344,-0.0034000000000000002,0.049699999999999994,9e-4
1954-05-01,0.030899999999999997,0.0040999999999999995,0.0245,-0.019,5e-4
1954-06-01,0.010700000000000001,0.0038,1e-4,0.0351,6e-4
1954-07-01,0.0499,0.0106,0.041299999999999996,0.0048,5e-4
1954-08-01,-0.023399999999999997,0.0269,-0.0138,-0.0066,5e-4
1954-09-01,0.0639,-0.0253,0.0068000000000000005,0.015600000000000001,9e-4
1954-10-01,-0.0167,0.0062,0.0067,0.0095,7.000000000000001e-4
1954-11-01,0.09380000000000001,-0.0262,0.044000000000000004,0.019,6e-4
1954-12-01,0.0548,0.0212,0.056600000000000004,-0.013300000000000001,8e-4
1955-01-01,0.006,0.0036,0.021400000000000002,0.013600000000000001,8e-4
1955-02-01,0.0302,0.0159,0.0058,0.0109,9e-4
1955-03-01,-0.0016,-0.0074,0.0197,0.0104,0.001
1955-04-01,0.0311,-0.016200000000000003,0.0068000000000000005,7.000000000000001e-4,0.001
1955-05-01,0.009300000000000001,-0.0028000000000000004,-0.0096,0.0051,0.0014000000000000002
1955-06-01,0.0655,-0.04650000000000001,0.0184,0.0462,0.001
1955-07-01,0.019,-0.011699999999999999,0.0034999999999999996,-0.0121,0.001
1955-08-01,0.0021,-0.0044,0.0072,0.0179,0.0016
1955-09-01,-0.0036,0.0034999999999999996,-0.009899999999999999,0.0182,0.0016
1955-10-01,-0.0268,0.0148,-0.0015,-0.006,0.0018
1955-11-01,0.0703,-0.0222,0.0033,0.027000000000000003,0.0017000000000000001
1955-12-01,0.0149,0.0216,-0.023,-0.013500000000000002,0.0018
1956-01-01,-0.030299999999999997,0.0037,0.0095,-0.013999999999999999,0.0022
1956-02-01,0.0377,-0.0098,-0.0043,0.0196,0.0019
1956-03-01,0.0664,-0.0209,-0.0046,0.036000000000000004,0.0015
1956-04-01,0.0028000000000000004,1e-4,-0.0024,0.0258,0.0019
1956-05-01,-0.052000000000000005,0.014499999999999999,-0.0131,-0.0161,0.0023
1956-06-01,0.0348,-0.0148,-0.0113,0.0273,0.002
1956-07-01,0.0484,-0.0166,-4e-4,0.025,0.0022
1956-08-01,-0.0318,0.0189,-0.0074,-0.0069,0.0017000000000000001
1956-09-01,-0.051399999999999994,0.015700000000000002,0.0176,-0.0075,0.0018
1956-10-01,0.0052,-0.001,-6e-4,0.024300000000000002,0.0025
1956-11-01,0.0036,-0.0021,0.0178,0.0341,0.002
1956-12-01,0.0316,-1e-4,-0.0215,0.0382,0.0024
1957-01-01,-0.0358,0.0337,0.0281,-0.030899999999999997,0.0027
1957-02-01,-0.0206,-0.0072,-0.0072,0.0032,0.0024
1957-03-01,0.0213,0.0026,-0.0048,-0.0018,0.0023
1957-04-01,0.0426,-0.0159,-0.014499999999999999,0.01,0.0025
1957-05-01,0.0345,-0.0105,-0.021,0.0048,0.0026
1957-06-01,-0.0074,0.0054,1e-4,0.0079,0.0024
1957-07-01,0.0066,-0.0076,0.0043,-7.000000000000001e-4,0.003
1957-08-01,-0.051100000000000007,5e-4,-0.0040999999999999995,0.004699999999999999,0.0025
1957-09-01,-0.059800000000000006,8e-4,0.0092,0.0053,0.0026
1957-10-01,-0.0432,-0.0252,-0.018000000000000002,0.0195,0.0029
1957-11-01,0.023,0.004,-0.0287,0.0127,0.0028000000000000004
